,date,aapl,VCNIX,aapl_VCNIX_ratio,rolling_aapl_mean
0,2025-03-28,217.9,20.83,10.46087373979837,
1,2025-03-31,222.13,20.83,10.663946231397023,
2,2025-04-01,223.19,21.0,10.628095238095238,221.07333333333335
3,2025-04-02,223.89,21.16,10.580812854442343,223.07000000000002
4,2025-04-03,203.19,20.01,10.154422788605697,216.75666666666666
5,2025-04-04,188.38,18.8,10.020212765957446,205.1533333333333
6,2025-04-07,181.46,18.83,9.63674986723314,191.01
7,2025-04-08,172.42,18.46,9.340195016251354,180.75333333333333
8,2025-04-09,198.85,20.68,9.615570599613152,184.24333333333334
9,2025-04-10,190.42,19.81,9.612317011610298,187.23
10,2025-04-11,198.15,20.19,9.814264487369984,195.8066666666667
11,2025-04-14,202.52,20.3,9.976354679802956,197.03
12,2025-04-15,202.14,20.34,9.938053097345133,200.9366666666667
13,2025-04-16,194.27,19.72,9.851419878296147,199.64333333333335
14,2025-04-17,196.98,19.72,9.988843813387424,197.79666666666665
15,2025-04-21,193.16,19.23,10.044721788871554,194.80333333333337
16,2025-04-22,199.74,19.74,10.118541033434651,196.62666666666667
17,2025-04-23,204.6,20.19,10.13372956909361,199.16666666666666
18,2025-04-24,208.37,20.75,10.041927710843373,204.23666666666668
19,2025-04-25,209.28,20.99,9.970462124821344,207.41666666666666
20,2025-04-28,210.14,20.98,10.016205910390848,209.26333333333332
21,2025-04-29,211.21,21.11,10.005210800568452,210.21
22,2025-04-30,212.5,21.11,10.066319279962103,211.28333333333333
23,2025-05-01,213.32,21.37,9.982218062704726,212.34333333333333
24,2025-05-02,205.35,21.71,9.458774758175956,210.39
25,2025-05-05,198.89,21.56,9.22495361781076,205.85333333333332
26,2025-05-06,198.51,21.37,9.289190453907345,200.91666666666666
27,2025-05-07,196.25,21.46,9.144920782851816,197.88333333333333
28,2025-05-08,197.49,21.67,9.113520996769727,197.41666666666666
29,2025-05-09,198.53,21.66,9.165743305632502,197.42333333333332
30,2025-05-12,210.79,22.54,9.35181898846495,202.26999999999998
31,2025-05-13,212.93,22.89,9.302315421581477,207.41666666666666
32,2025-05-14,212.33,23.02,9.223718505647264,212.01666666666668
33,2025-05-15,211.45,23.05,9.173535791757049,212.23666666666668
34,2025-05-16,211.26,23.15,9.125701943844492,211.67999999999998
35,2025-05-19,208.78,23.17,9.010789814415192,210.49666666666667
36,2025-05-20,206.86,23.08,8.962738301559794,208.9666666666667
37,2025-05-21,202.09,22.77,8.875274483970136,205.91
38,2025-05-22,201.36,22.81,8.827707145988603,203.4366666666667
39,2025-05-23,195.27,22.6,8.640265486725664,199.57333333333335
40,2025-05-27,200.21,23.14,8.652117545375972,198.9466666666667
41,2025-05-28,200.42,23.03,8.702561875814155,198.63333333333333
42,2025-05-29,199.95,23.08,8.663344887348353,200.1933333333333
43,2025-05-30,200.85,23.06,8.709887250650477,200.40666666666664
44,2025-06-02,201.7,23.22,8.686477174849268,200.83333333333334
45,2025-06-03,203.27,23.4,8.686752136752137,201.93999999999997
46,2025-06-04,202.82,23.47,8.64167021729868,202.59666666666666
47,2025-06-05,200.63,23.28,8.618127147766323,202.24
48,2025-06-06,203.92,23.52,8.670068027210885,202.45666666666668
49,2025-06-09,201.45,23.56,8.550509337860781,202.0
50,2025-06-10,202.67,23.71,8.547870097005482,202.67999999999998
51,2025-06-11,198.78,23.62,8.415749364944961,200.96666666666667
52,2025-06-12,199.2,23.68,8.412162162162161,200.21666666666667
53,2025-06-13,196.45,23.38,8.402480752780153,198.14333333333332
54,2025-06-16,198.42,23.71,8.368620835090677,198.0233333333333
55,2025-06-17,195.64,23.47,8.335747763101832,196.83666666666667
56,2025-06-18,196.58,23.47,8.375798892202813,196.88
57,2025-06-20,201.0,23.37,8.600770218228497,197.74
58,2025-06-23,201.5,23.62,8.530906011854361,199.69333333333336
59,2025-06-24,200.3,23.98,8.35279399499583,200.9333333333333
60,2025-06-25,201.56,24.03,8.387848522679983,201.12
61,2025-06-26,201.0,24.26,8.285243198680956,200.95333333333335
62,2025-06-27,201.08,24.36,8.254515599343186,201.21333333333337
63,2025-06-30,205.17,24.51,8.370869033047734,202.41666666666666
64,2025-07-01,207.82,24.3,8.552263374485596,204.68999999999997
65,2025-07-02,212.44,24.47,8.681651001225992,208.47666666666666
66,2025-07-03,213.55,24.72,8.638754045307444,211.27
67,2025-07-07,209.95,24.52,8.562398042414355,211.98
68,2025-07-08,210.01,24.54,8.557864710676446,211.17
