date,aapl,VCNIX
2025-03-28,217.9,20.83
2025-03-31,222.13,20.83
2025-04-01,223.19,21.0
2025-04-02,223.89,21.16
2025-04-03,203.19,20.01
2025-04-04,188.38,18.8
2025-04-07,181.46,18.83
2025-04-08,172.42,18.46
2025-04-09,198.85,20.68
2025-04-10,190.42,19.81
2025-04-11,198.15,20.19
2025-04-14,202.52,20.3
2025-04-15,202.14,20.34
2025-04-16,194.27,19.72
2025-04-17,196.98,19.72
2025-04-21,193.16,19.23
2025-04-22,199.74,19.74
2025-04-23,204.6,20.19
2025-04-24,208.37,20.75
2025-04-25,209.28,20.99
2025-04-28,210.14,20.98
2025-04-29,211.21,21.11
2025-04-30,212.5,21.11
2025-05-01,213.32,21.37
2025-05-02,205.35,21.71
2025-05-05,198.89,21.56
2025-05-06,198.51,21.37
2025-05-07,196.25,21.46
2025-05-08,197.49,21.67
2025-05-09,198.53,21.66
2025-05-12,210.79,22.54
2025-05-13,212.93,22.89
2025-05-14,212.33,23.02
2025-05-15,211.45,23.05
2025-05-16,211.26,23.15
2025-05-19,208.78,23.17
2025-05-20,206.86,23.08
2025-05-21,202.09,22.77
2025-05-22,201.36,22.81
2025-05-23,195.27,22.6
2025-05-27,200.21,23.14
2025-05-28,200.42,23.03
2025-05-29,199.95,23.08
2025-05-30,200.85,23.06
2025-06-02,201.7,23.22
2025-06-03,203.27,23.4
2025-06-04,202.82,23.47
2025-06-05,200.63,23.28
2025-06-06,203.92,23.52
2025-06-09,201.45,23.56
2025-06-10,202.67,23.71
2025-06-11,198.78,23.62
2025-06-12,199.2,23.68
2025-06-13,196.45,23.38
2025-06-16,198.42,23.71
2025-06-17,195.64,23.47
2025-06-18,196.58,23.47
2025-06-20,201.0,23.37
2025-06-23,201.5,23.62
2025-06-24,200.3,23.98
2025-06-25,201.56,24.03
2025-06-26,201.0,24.26
2025-06-27,201.08,24.36
2025-06-30,205.17,24.51
2025-07-01,207.82,24.3
2025-07-02,212.44,24.47
2025-07-03,213.55,24.72
2025-07-07,209.95,24.52
2025-07-08,210.01,24.54
2025-07-09,211.14,24.72
2025-07-10,212.41,24.68
2025-07-11,211.16,24.62
2025-07-14,208.62,24.7
2025-07-15,209.11,24.74
2025-07-16,210.16,24.76
2025-07-17,210.02,24.95
2025-07-18,211.18,24.93
2025-07-21,212.48,25.05
2025-07-22,214.4,24.93
2025-07-23,214.15,25.03
2025-07-24,213.76,25.1
2025-07-25,213.88,25.15
2025-07-28,214.05,25.24
2025-07-29,211.27,25.19
2025-07-30,209.05,25.23
2025-07-31,207.57,25.09
2025-08-01,202.38,24.6
2025-08-04,203.35,25.06
2025-08-05,202.92,24.88
2025-08-06,213.25,25.2
2025-08-07,220.03,25.28
2025-08-08,229.35,25.52
2025-08-11,227.18,25.43
2025-08-12,229.65,25.77
2025-08-13,233.33,25.78
2025-08-14,232.78,25.76
2025-08-15,231.59,25.63
2025-08-18,230.89,25.63
2025-08-19,230.56,25.28
2025-08-20,226.01,25.13
